,target,spark.executor.cores,spark.executor.instances,spark.executor.memoryOverhead,spark.scheduler.revive.interval
1,397.267,1.0,7.0,384.0,744.0
2,218.759,3.0,7.0,713.0,521.0
3,274.356,2.0,6.0,384.0,948.0
4,185.528,3.0,7.0,685.0,626.0
5,222.671,3.0,7.0,541.0,984.0
6,268.936,3.0,6.0,676.0,598.0
7,280.262,3.0,5.0,620.0,802.0
8,180.737,3.0,7.0,582.0,551.0
9,242.835,3.0,5.0,525.0,825.0
10,192.778,3.0,7.0,629.0,507.0
11,313.351,2.0,5.0,384.0,564.0
12,184.96,3.0,7.0,629.0,548.0
13,200.646,3.0,8.0,498.0,768.0
14,266.492,2.0,6.0,634.0,563.0
15,353.454,2.0,4.0,470.0,947.0
16,220.545,3.0,7.0,702.0,667.0
17,636.02,1.0,4.0,384.0,998.0
18,161.869,4.0,8.0,877.0,663.0
19,270.492,2.0,7.0,394.0,741.0
20,160.02,4.0,7.0,776.0,758.0
21,185.006,3.0,7.0,527.0,545.0
22,182.159,4.0,6.0,784.0,744.0
23,221.4495086669922,2.260676217772594,7.662817098564643,631.0707439500835,507.159327935245
24,199.0531005859375,2.9146063743347095,6.302924676290957,789.9990946216764,758.9718010727015
25,199.05279541015625,2.9765170574370883,7.005459810043106,766.9388671742748,744.7646806797297
26,190.03866577148438,4.0,7.779990951939387,863.8670044968075,674.6600567019037
27,190.03866577148438,3.5269925582719686,6.351241026606228,861.4190801475406,650.7286637832533
28,199.05279541015625,3.252046,5.969923,762.1758549725914,774.3551775672822
29,176.2726287841797,3.558002124034625,7.113423992497092,674.1245937302641,648.209623545983
30,176.2726287841797,3.9971735127529717,7.288324906589299,673.7692629408622,675.1946420833477
31,206.48960876464844,3.9777834129727676,7.620581878994324,684.6042837607281,698.9491201260186
32,190.03866577148438,4.0,7.6758335197,786.0114183276207,791.6165143935971
33,190.03836059570312,4.0,7.6082501677300005,764.1912097067391,809.7442419073045
34,190.03866577148438,3.602506578286,6.452574849043,790.3719488772118,820.6496823336423
35,190.03866577148438,4.0,7.4926826358613,814.5281745285328,803.6104540978189
36,190.03866577148438,3.9811821839162076,7.035447022587512,829.2124810699237,777.623263708906
37,190.03866577148438,4.0,7.399072935047653,824.9029566712217,746.1114635932573
