spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.executor.memory,spark.executor.cores,spark.executor.memoryOverhead,spark.executor.instances,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxSizeInFlight,spark.scheduler.revive.interval,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold,spark.sql.shuffle.partitions,spark.sql.autoBroadcastJoinThreshold,spark.sql.inMemoryColumnarStorage.batchSize,spark.sql.inMemoryColumnarStorage.compressed,runtime
0,0,7,3,461,5,34,0,1,298,96,91,6,1375784022,0.73,0.74,1,1607177201,49,989,28,3,181,4,267,12931962,9513,0,674
0,0,7,3,498,5,38,1,1,452,99,38,8,1614808438,0.85,0.74,1,1677278774,65,611,29,2,221,1,343,13789778,11454,0,710
1,581,6,3,635,6,53,0,1,254,46,34,4,1545237745,0.74,0.55,1,1797848387,69,589,39,1,190,4,285,14403997,8987,1,573
1,943,6,3,715,8,35,1,0,498,39,123,10,2042687029,0.77,0.87,0,1449457187,58,818,19,3,213,3,363,8047853,10739,0,735
1,832,5,2,580,8,36,0,0,332,54,125,10,1528731679,0.71,0.85,1,1423072629,48,738,40,2,235,4,323,13349667,10586,1,739
0,0,4,2,384,6,45,0,0,340,62,92,10,1128693139,0.51,0.61,0,1658217543,72,691,35,3,206,3,281,10219957,10550,1,735
1,642,4,2,384,6,55,1,0,387,56,116,5,1983969349,0.58,0.88,1,1312488793,56,508,24,3,204,1,304,13972711,10276,1,695
0,0,4,2,402,5,36,1,1,387,98,46,8,1244914187,0.6,0.63,1,1773080801,42,875,46,2,239,4,398,7031342,8175,1,857
1,601,5,2,391,8,62,1,1,405,108,53,7,1550305365,0.82,0.55,0,1518759719,41,783,44,2,248,1,373,5422369,8550,0,750
1,728,4,2,384,4,57,0,0,490,64,99,10,1497936374,0.71,0.79,1,1698511951,57,703,38,2,208,4,345,7148474,11166,0,782
0,0,7,3,454,8,63,0,1,241,46,34,5,1762047489,0.84,0.61,1,1531939956,65,931,27,3,181,3,255,12634718,11524,0,614
1,938,6,3,735,5,39,1,1,361,93,36,9,1106500973,0.88,0.59,0,1324454330,40,909,24,1,235,4,357,13749350,11692,1,644
1,991,4,2,396,5,42,1,0,249,46,37,4,1419843087,0.82,0.75,1,1549332048,65,511,32,1,244,4,264,5561423,8786,1,675
0,0,7,3,736,6,38,0,0,240,41,105,7,2031315775,0.9,0.52,1,1888984277,68,541,27,3,217,3,254,5660106,8432,0,654
1,644,5,2,557,4,55,1,0,202,123,43,6,1138647232,0.55,0.74,1,1636769995,50,876,17,2,197,2,278,6234692,8177,1,709
0,0,6,3,564,8,54,0,1,422,127,88,4,1880304878,0.9,0.78,1,1388476386,61,617,36,3,220,4,346,14440997,8651,0,755
0,0,6,3,385,7,41,0,0,418,110,103,10,2037692085,0.76,0.75,1,2074906678,46,549,41,1,199,4,277,8317121,10326,1,670
1,576,6,3,620,5,62,1,0,436,126,126,6,1302507955,0.88,0.89,1,1795654339,56,836,30,2,224,3,270,10750801,11945,1,634
1,773,6,3,709,4,55,0,1,422,105,97,9,1291428194,0.88,0.61,1,2058881677,40,728,30,3,234,4,277,9197399,8802,0,649
0,0,7,3,441,8,50,1,0,317,44,109,5,1750511853,0.63,0.68,0,1925985611,52,775,34,2,228,1,267,5901635,11077,0,628
0,0,4,2,384,8,63,1,1,395,99,128,6,1258557075,0.69,0.55,1,1204437537,69,872,36,3,216,3,348,10133647,10308,0,751
0,0,7,3,606,4,54,0,1,452,38,74,6,1839514129,0.68,0.73,0,1150887735,54,942,46,3,225,4,280,9491919,8721,0,700
0,0,4,2,479,8,47,1,1,459,76,72,7,1300711754,0.56,0.81,0,1698662033,54,952,19,3,189,1,288,5801721,10796,0,775
0,0,4,2,384,5,35,0,1,411,120,71,10,1873161533,0.6,0.82,0,1278716066,62,570,42,3,180,2,363,12061499,11350,0,836
1,952,6,3,646,8,52,1,1,259,92,122,7,1592154600,0.59,0.5,1,1933993316,72,756,32,2,248,3,365,7377331,9379,0,684
0,0,7,3,830,8,57,1,0,490,122,34,9,1642097909,0.54,0.56,1,1290768169,61,726,24,1,247,2,251,15500210,9117,0,674
0,0,4,2,384,8,60,1,0,221,49,73,6,1335866910,0.52,0.83,0,1576576275,44,822,41,2,177,2,300,14299329,11229,1,750
1,577,6,3,413,8,53,1,0,210,49,80,7,1731363331,0.6,0.62,0,1620051543,69,724,28,1,155,2,253,14414026,11403,1,589
0,0,3,1,384,6,51,0,0,219,88,120,7,1424710020,0.66,0.75,0,1771406282,69,958,47,2,164,4,387,7325522,11546,0,988
1,865,6,3,633,8,49,1,0,312,42,48,10,1253658620,0.86,0.59,0,1871232627,72,888,25,2,230,1,254,6659451,9095,0,619
1,981,4,2,384,8,46,0,0,486,71,98,9,1099215176,0.61,0.82,0,2121443404,68,733,24,1,212,3,308,13111453,10464,1,736
0,0,6,3,636,7,37,1,0,326,87,72,4,1375851111,0.7,0.84,0,1130915200,52,730,24,2,151,2,250,11088073,9887,1,649
0,0,5,2,545,6,37,0,1,362,47,44,8,1388715798,0.71,0.72,0,1181335550,60,781,40,3,181,3,265,12611530,10749,1,684
0,0,5,2,457,6,35,1,0,383,115,48,5,1916991296,0.77,0.53,1,1188152470,41,575,39,2,173,3,311,6494350,8955,0,715
1,856,3,1,384,7,39,1,0,388,119,118,8,1920245292,0.86,0.72,1,1243481080,64,741,19,1,223,3,367,11649618,10575,0,917
1,827,3,1,384,6,51,0,1,397,57,111,5,2144874895,0.79,0.64,0,1484692871,70,839,30,3,159,2,357,6343239,10558,0,1022
1,909,6,3,494,7,45,0,0,277,82,117,4,1554239521,0.86,0.74,0,1686806957,50,509,17,1,189,4,367,12993751,11433,1,670
0,0,7,3,724,5,52,0,1,247,93,64,6,1384431956,0.85,0.8,1,1708096490,52,836,35,2,174,3,255,7000054,8659,1,573
0,0,3,1,384,4,47,1,1,324,39,87,6,1077332097,0.67,0.56,1,1534783513,45,934,24,1,199,4,307,14581143,11053,0,1023
0,0,7,3,666,6,48,0,0,285,70,49,5,1845771054,0.53,0.61,0,2120325898,63,936,45,3,161,4,387,7833407,11238,0,766
1,548,6,3,584,4,58,1,0,340,44,61,4,2146155101,0.53,0.53,0,1215126989,56,752,32,1,232,1,350,7143298,8007,1,705
0,0,5,2,528,4,37,1,0,314,69,36,9,2110108815,0.77,0.6,0,2088233101,69,913,48,3,232,2,398,9531228,9865,0,826
1,746,4,2,468,8,41,1,0,280,59,80,4,1786820858,0.81,0.86,0,1561519552,55,594,42,1,244,1,400,11869976,10493,0,750
1,728,3,1,384,5,38,0,1,298,86,40,7,1636532662,0.8,0.56,1,1544186498,52,636,25,2,171,3,314,12765691,11846,0,937
1,984,6,3,733,5,63,0,0,372,78,62,4,1505045237,0.62,0.54,1,1237072855,43,702,34,2,167,3,296,15556337,10300,0,579
0,0,5,2,487,5,43,0,0,282,120,115,7,1724041550,0.69,0.55,1,1650945179,64,778,31,3,184,3,370,9443890,10343,1,801
0,0,4,2,384,4,36,1,0,218,59,111,10,1373588992,0.58,0.64,0,1720328626,42,704,35,1,165,2,381,7512224,8603,1,765
1,991,4,2,385,4,47,0,0,460,46,95,7,1220321535,0.57,0.52,1,1862192346,64,524,47,2,225,2,273,5936616,9185,0,720
0,0,3,1,384,5,32,1,0,220,58,126,8,1720564163,0.9,0.53,1,1458219826,62,609,18,1,208,3,335,12768372,10330,1,1115
1,1008,3,1,384,4,45,0,1,338,90,41,9,1915358082,0.62,0.86,1,1498775786,48,506,29,2,248,3,261,12762179,8136,1,937
1,888,6,3,413,4,64,1,0,234,93,79,9,2049621564,0.64,0.67,1,2013736970,63,881,24,3,250,3,400,5784354,9817,1,665
0,0,5,2,591,5,64,1,0,226,72,59,8,1545655942,0.88,0.6,0,1706894729,71,784,35,2,232,3,303,13565753,9584,1,629
1,743,5,2,446,8,55,1,0,281,33,40,5,1925109253,0.66,0.79,1,1634576020,57,607,45,1,188,1,392,11865407,9342,1,710
0,0,3,1,384,5,42,1,0,387,40,107,9,1502258912,0.8,0.86,1,1202099622,62,814,32,2,170,3,289,9446427,10529,0,997
0,0,6,3,577,6,45,0,0,314,106,127,9,2132513446,0.55,0.69,0,1234076483,54,643,47,3,203,2,256,5457258,10983,1,633
0,0,5,2,526,5,56,1,1,367,37,86,5,2030686135,0.8,0.57,1,1246124086,49,911,35,3,199,4,266,14795386,8075,1,695
1,523,3,1,384,8,60,1,0,477,62,55,7,1400086556,0.87,0.58,1,1694874474,68,973,27,3,190,4,276,12487011,8297,0,968
0,0,6,3,521,6,56,0,1,368,58,88,7,1187083724,0.82,0.81,0,1571666816,52,603,26,3,202,1,279,5812684,11219,0,614
1,888,3,1,384,4,45,1,0,391,32,73,9,1109917128,0.54,0.62,0,1749377650,45,878,44,2,241,3,352,11164661,11593,1,1044
0,0,5,2,384,5,33,0,0,328,81,127,7,1455906316,0.59,0.58,0,1394329669,61,579,38,2,204,1,322,8748048,9583,0,730
0,0,6,3,483,7,37,0,1,488,59,106,4,1110232885,0.7,0.51,0,1314242068,60,520,18,2,218,2,330,14391470,10353,1,745
1,957,6,3,661,7,39,0,0,386,116,59,7,1969960655,0.75,0.53,0,1757333616,49,913,16,2,167,3,254,11771087,8390,0,624
0,0,5,2,608,8,63,1,1,478,54,92,5,1084597874,0.77,0.6,1,1778709660,58,556,23,1,161,2,322,11409420,8025,1,740
1,529,3,1,384,6,64,1,1,281,122,115,9,2022084935,0.65,0.71,0,1597517345,50,947,47,1,196,4,265,10008857,10040,0,916
0,0,7,3,745,8,56,0,0,320,40,51,5,1710807582,0.84,0.64,1,1224164326,41,545,27,2,189,2,367,15689757,10582,0,735
0,0,6,3,393,5,33,0,0,436,97,99,7,1941278669,0.67,0.81,0,1627507412,60,912,30,2,244,2,270,6823663,11631,0,589
0,0,5,2,435,5,43,1,0,203,82,103,5,1916197545,0.69,0.69,1,1739220256,64,871,42,1,157,4,313,12399754,10113,0,664
1,715,5,2,384,4,59,0,0,235,49,45,6,1195300895,0.54,0.56,1,1548507554,47,605,29,1,176,2,290,6446552,10022,1,785
0,0,7,3,785,7,54,1,1,215,120,105,4,1520163278,0.86,0.9,1,1508452266,44,767,28,1,195,3,318,7197982,8378,1,649
0,0,4,2,384,5,41,0,0,214,88,125,7,1422841474,0.51,0.87,0,1100557030,67,536,43,1,213,3,296,7211184,10435,1,679
0,0,6,3,562,7,61,1,1,318,85,39,7,1996618608,0.5,0.6,1,1700399729,58,542,27,2,159,1,286,14082599,10840,1,628
1,810,4,2,387,4,32,0,1,345,110,40,9,1099072566,0.61,0.57,0,1282534159,64,685,24,2,204,2,258,7132668,9186,0,690
1,825,5,2,384,6,63,1,1,274,65,69,10,2095641668,0.58,0.64,1,1573197815,57,524,39,2,223,3,373,11853184,9404,1,735
0,0,4,2,384,7,33,0,1,287,48,76,8,1958894332,0.74,0.59,0,2056322755,52,763,28,3,188,2,259,12234159,8736,0,734
0,0,7,3,803,5,38,1,1,427,111,52,7,1274845786,0.81,0.67,0,1741585036,52,710,19,1,184,4,364,11218676,10491,0,665
0,0,7,3,825,4,55,0,1,367,44,57,7,1552930270,0.61,0.64,0,1947013771,48,701,33,2,244,1,284,5911637,10266,1,634
0,0,5,2,384,8,53,0,1,477,128,116,7,1457187843,0.58,0.78,1,1595019854,69,679,37,3,217,3,257,13393053,11356,1,760
0,0,5,2,518,5,32,1,0,267,127,75,5,1221273067,0.8,0.87,0,1906475539,40,853,28,3,194,2,357,14061158,8321,1,720
1,862,6,3,637,6,48,0,0,462,101,87,6,1790448773,0.63,0.69,1,1266687512,60,755,47,3,168,1,286,15646399,9151,1,669
0,0,5,2,384,8,51,1,0,379,87,40,9,1301448238,0.81,0.56,1,2135993804,60,869,33,1,153,2,383,15197511,11620,1,796
1,575,3,1,384,7,52,1,0,364,94,88,6,1563841272,0.53,0.86,0,1739342157,60,612,27,1,239,1,317,6665785,11139,1,902
1,798,4,2,384,8,63,1,0,401,73,65,9,1261860841,0.55,0.85,1,2096289255,40,858,27,3,195,2,312,7099912,8890,0,795
1,1023,4,2,384,5,50,0,0,272,76,62,4,1266141411,0.61,0.7,1,1384592628,55,669,25,1,180,1,282,5376100,8270,1,694
1,826,4,2,384,6,46,0,1,420,104,66,8,1120707439,0.75,0.58,1,1204246471,70,753,28,2,159,2,279,13642030,9494,0,644
1,701,5,2,573,4,36,1,1,454,70,118,9,2043998484,0.6,0.64,1,1199648763,61,716,39,1,232,4,271,10515370,9180,1,760
0,0,7,3,834,7,57,1,0,341,51,83,10,1367081006,0.6,0.66,1,1316460681,49,591,18,2,177,3,308,8295175,8463,1,679
1,522,6,3,732,5,60,0,0,431,112,33,8,1365271187,0.51,0.66,0,1593851569,62,641,35,3,200,3,351,10251208,10865,1,689
0,0,7,3,605,7,49,1,0,347,42,95,7,1603129246,0.85,0.86,1,1636627257,46,620,20,3,203,4,310,6412004,9607,1,724
0,0,6,3,437,8,35,1,1,337,108,108,10,1115545571,0.83,0.86,1,1802032613,49,914,33,3,152,3,310,11783580,11988,1,629
1,769,3,1,384,6,54,1,0,381,60,90,5,1844959573,0.72,0.67,1,1158177868,43,606,23,1,177,3,389,15108925,10794,0,1034
1,782,6,3,390,7,36,1,0,250,54,87,10,1249293503,0.73,0.74,1,1232313092,46,807,41,1,160,2,395,6537079,9413,0,755
0,0,4,2,422,6,49,1,1,490,77,55,6,2102607757,0.64,0.89,1,2089174801,54,814,18,2,225,1,303,12850676,9199,0,740
0,0,7,3,570,6,63,0,1,212,73,124,6,1120682157,0.54,0.64,1,1110369939,72,516,43,1,201,2,250,14708489,10077,0,624
0,0,7,3,510,8,49,0,1,402,102,38,5,1471083194,0.85,0.53,0,1179647401,40,831,39,1,229,2,355,14898110,8466,0,695
0,0,3,1,384,8,56,1,1,282,49,80,6,1774712016,0.76,0.88,1,1611195723,60,939,40,3,198,3,375,6788665,10411,0,983
0,0,5,2,509,6,51,0,0,479,79,75,10,1153891317,0.65,0.58,0,1700749087,69,781,34,1,241,2,344,6878051,11979,0,766
0,0,5,2,384,7,55,1,0,396,38,105,8,1891985448,0.67,0.81,1,1401742001,46,593,21,2,155,1,380,7920602,9960,0,846
1,773,5,2,384,6,52,1,0,483,73,101,6,1808465733,0.82,0.66,0,1425421651,56,686,45,3,197,1,285,12382524,8656,0,871
1,529,4,2,446,7,62,0,1,384,101,112,4,1171867467,0.75,0.87,0,1477190543,42,793,21,1,200,3,267,7925847,8260,1,709
1,705,3,1,384,5,34,0,0,302,87,81,9,1316834364,0.87,0.79,1,2138227404,54,740,48,3,228,2,341,9782277,10732,0,973
1,720,5,2,458,4,60,0,0,379,119,33,4,1738799995,0.66,0.54,0,1550752612,66,536,44,1,208,1,378,5244015,11317,1,892
1,844,4,2,384,7,58,1,1,357,32,49,10,1102553810,0.51,0.78,1,1885180012,43,700,40,3,217,1,263,8683966,11280,1,695
