spark.reducer.maxReqsInFlight,spark.scheduler.revive.interval,spark.shuffle.sort.bypassMergeThreshold,spark.kryoserializer.buffer,spark.default.parallelism,runtime
208.15737877609968,91.84574549376757,18981180.096117076,16.45465129725173,221.76133547400983,492.2532447736603
211.42812704991894,93.3865891097844,21537373.529429883,16.64232545675402,237.03014930279826,492.2532447736603
219.02568176723597,93.46399558019891,11466896.481055329,16.829316781691745,226.72708235398576,492.2532447736603
216.08391488575742,92.27660992486574,15506095.361158483,16.375497745058063,238.54994906738594,492.2532447736603
213.66224338063589,91.74344915749928,14310070.22294211,16.183719989305597,225.50547802690346,492.2532447736603
216.29416017118538,92.70856109536254,14339358.632099273,16.265634096981096,227.94187804203227,492.2532447736603
215.46817214127253,91.9391399216414,12306827.071151175,16.40569033559782,234.30028031608356,492.2532447736603
213.19040600734394,93.63002544318269,5418421.109849693,16.34399628422484,228.05210154584896,492.2532447736603
216.30658803212944,92.0890804987554,758621.5348315419,16.42571031646402,237.3204932410118,492.2532447736603
210.94667517420632,93.28926029867398,2879656.5630036057,16.733159224851022,234.08419845677597,492.2532447736603
215.6161477406665,92.13851226198695,6369244.570633381,16.551587117235965,232.98589318275813,492.2532447736603
